student_uid,student_name,college_email,college_name,current_year,current_semester,attendance_rate,avg_internal,cgpa,backlog_count,fee_status,normalized_engagement,scholarship_status,dropout_probability_percent
700950824533,Kabir Tiwari,kabir.tiwari797@lpu.in,Lovely Professional University,4,8,75,71,8.03,0,paid,0.93,no,27.23
549821860151,Mukesh Chaudhary,mukesh.chaudhary683@srmist.edu.in,SRM Institute of Science and Technology,4,7,83,87,7.58,0,delayed,0.72,no,27.4
596032993725,Nidhi Deshmukh,nidhi.deshmukh506@amity.edu,Amity University,1,2,76,82,6.46,0,paid,0.75,no,18.64
867618598836,Sanjay Kumar,sanjay.kumar31@dayanandasagar.edu,Dayananda Sagar College of Engineering,3,6,60,74,7.18,1,paid,0.46,no,28.49
720119209121,Atharva Mukherjee,atharva.mukherjee173@rvce.edu.in,RV College of Engineering,1,2,75,71,7.37,0,paid,0.53,no,37.66
502484907922,Karthik Verma,karthik.verma126@hithaldia.ac.in,Haldia Institute of Technology,4,7,61,78,9.8,0,paid,0.75,yes,20.64
599104936502,Aarav Kulkarni,aarav.kulkarni203@amity.edu,Amity University,2,4,37,30,4.44,6,paid,0.03,no,92.36
664699337142,Shyam Kulkarni,shyam.kulkarni749@manipal.edu,Manipal Institute of Technology,4,8,71,75,8.85,2,paid,0.31,no,45.58
164801498707,Pranav Singh,pranav.singh84@srmist.edu.in,SRM Institute of Science and Technology,2,4,48,58,6.06,1,paid,0.57,no,57.82
147816571493,Abhishek Menon,abhishek.menon950@lpu.in,Lovely Professional University,1,2,82,56,8.08,2,paid,0.49,no,39.81
399057923575,Yash Kulkarni,yash.kulkarni653@vit.ac.in,Vellore Institute of Technology,2,3,72,,7.76,0,paid,0.67,no,31.11
589699273023,Karthik Singh,karthik.singh69@kiit.ac.in,KIIT University,2,4,77,73,6.91,2,paid,0.68,yes,18.26
210031935188,Shruti Yadav,shruti.yadav561@hithaldia.ac.in,Haldia Institute of Technology,2,4,47,50,4.97,4,delayed,0.17,no,91.74
806919338716,Aarav Thakur,aarav.thakur551@amity.edu,Amity University,3,5,72,82,8.32,0,paid,0.82,no,13.9
517318904083,Neha Gupta,neha.gupta789@mitwpu.edu.in,MIT World Peace University,1,1,79,98,8.09,0,paid,0.58,no,29.56
248830838653,Sneha Kumar,sneha.kumar497@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,3,5,76,80,9.8,0,paid,0.85,no,19.43
949183348874,Pooja Iyer,pooja.iyer746@vit.ac.in,Vellore Institute of Technology,2,3,40,50,5.15,6,paid,0.32,no,83.79
595927969237,Vivek Das,vivek.das542@rvce.edu.in,RV College of Engineering,4,8,54,78,7.21,0,paid,0.55,no,42.56
608315734798,Dev Desai,dev.desai811@lpu.in,Lovely Professional University,2,3,42,59,5.4,1,unpaid,0.19,no,89.88
724415101810,Kabir Patel,kabir.patel888@vit.ac.in,Vellore Institute of Technology,2,3,62,80,7.75,2,paid,0.39,no,73.12
636749531015,Sneha Pandey,sneha.pandey469@kiit.ac.in,KIIT University,3,6,64,50,5.73,2,paid,0.34,no,54.79
591490414062,Aaryan Iyer,aaryan.iyer753@lpu.in,Lovely Professional University,3,5,74,95,9.8,0,paid,0.81,no,15.66
149529983321,Shaurya Pandey,shaurya.pandey936@amity.edu,Amity University,3,5,70,71,6.07,4,delayed,0,no,80.05
113916190264,Raj Rao,raj.rao266@amity.edu,Amity University,4,8,55,61,6.35,1,delayed,0.35,no,65.5
372764822417,Ritik Pandey,ritik.pandey883@bmsce.ac.in,BMS College of Engineering,1,2,37,46,5.84,4,paid,0,no,89.13
698739735808,Vihaan Chatterjee,vihaan.chatterjee509@srmist.edu.in,SRM Institute of Science and Technology,2,3,62,67,9.8,0,unpaid,0.53,no,86.63
673150671072,Rohan Chaudhary,rohan.chaudhary973@hithaldia.ac.in,Haldia Institute of Technology,2,3,96,93,8.19,0,paid,0.79,no,17.68
720071325338,Ayaan Deshmukh,ayaan.deshmukh263@dayanandasagar.edu,Dayananda Sagar College of Engineering,2,4,53,48,5.86,3,delayed,0.25,no,83.86
716718800945,Reyansh Reddy,reyansh.reddy868@kiit.ac.in,KIIT University,2,4,100,99,7.97,0,paid,1,no,15.82
305311253011,Mukesh Mukherjee,mukesh.mukherjee851@srmist.edu.in,SRM Institute of Science and Technology,4,7,81,77,7.19,1,paid,0.41,no,30.58
827085903958,Krishna Das,krishna.das812@msrit.edu,MS Ramaiah Institute of Technology,1,1,72,80,6.34,0,paid,0.34,no,34.69
544925481438,Pooja Thakur,pooja.thakur52@manipal.edu,Manipal Institute of Technology,1,2,74,59,6.98,2,delayed,0.6,no,55.75
831143165575,Shaurya Nair,shaurya.nair946@lpu.in,Lovely Professional University,2,3,67,33,5.35,3,paid,0.14,no,83.36
889972454986,Neha Bose,neha.bose859@srmist.edu.in,SRM Institute of Science and Technology,4,8,60,60,6.78,0,paid,0.68,no,20.43
995015365560,Aarav Tiwari,aarav.tiwari396@nmamit.nitte.edu.in,NMAM Institute of Technology,3,5,48,43,4.76,3,unpaid,0.27,no,97.22
