student_uid,student_name,college_email,college_name,department,current_year,current_semester,attendance_rate,avg_internal,cgpa,backlog_count,fee_status,normalized_engagement,scholarship_status
231597513630,Kavya Mukherjee,kavya.mukherjee2323@dayanandasagar.edu,Dayananda Sagar College of Engineering,Civil Engineering,1,2,57,40,4.02,5,delayed,0.34,no
228889514338,Yash Iyer,yash.iyer9982@dayanandasagar.edu,Dayananda Sagar College of Engineering,Computer Science and Engineering,1,1,96,87,9.36,0,paid,0.89,no
231763201646,Vivaan Sengupta,vivaan.sengupta9690@pes.edu,PES University,Information Technology,1,2,52,54,4.55,3,delayed,0.24,no
946392487945,Shaurya Iyer,shaurya.iyer1883@bmsce.ac.in,BMS College of Engineering,Mechanical Engineering,1,2,80,79,7.72,1,paid,0.54,no
220658305641,Ritik Chauhan,ritik.chauhan828@manipal.edu,Manipal Institute of Technology,Electrical and Electronics Engineering,2,3,91,81,9.62,0,paid,0.88,no
913265945745,Krishna Das,krishna.das8270@manipal.edu,Manipal Institute of Technology,Civil Engineering,3,6,44,46,5.82,1,unpaid,0.35,no
950817141110,Riya Menon,riya.menon1229@thapar.edu,Thapar Institute of Engineering and Technology,Information Technology,4,8,93,90,8.55,0,paid,0.95,no
394270697253,Swati Kumar,swati.kumar1705@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Civil Engineering,1,2,81,77,7.08,1,paid,0.51,no
506453555351,Neha Iyer,neha.iyer3292@amity.edu,Amity University,Civil Engineering,3,5,75,72,7.13,1,paid,0.78,no
250254194445,Aditi Kumar,aditi.kumar2593@vit.ac.in,Vellore Institute of Technology,Computer Science and Engineering,4,7,99,82,8.95,0,paid,0.8,yes
864484600317,Sanjay Thakur,sanjay.thakur7647@mitwpu.edu.in,MIT World Peace University,Electronics and Communication Engineering,4,7,80,75,7,1,paid,0.75,no
748800237097,Anjali Sengupta,anjali.sengupta6806@kiit.ac.in,KIIT University,Electronics and Communication Engineering,2,4,84,60,6.96,1,paid,0.64,no
603021318358,Akash Sengupta,akash.sengupta8172@dayanandasagar.edu,Dayananda Sagar College of Engineering,Electrical and Electronics Engineering,2,4,84,75,6.57,0,paid,0.68,no
669541468996,Pooja Bose,pooja.bose3203@vit.ac.in,Vellore Institute of Technology,Electronics and Communication Engineering,1,2,100,100,9.46,0,paid,0.92,no
967736470148,Karthik Chaudhary,karthik.chaudhary5333@vit.ac.in,Vellore Institute of Technology,Electrical and Electronics Engineering,1,1,71,61,6.64,2,paid,0.78,no
233048752908,Manoj Joshi,manoj.joshi6150@pes.edu,PES University,Civil Engineering,2,4,54,42,5.98,5,delayed,0.19,no
511965578918,Pranav Gupta,pranav.gupta8060@lpu.in,Lovely Professional University,Mechanical Engineering,1,2,84,73,7.41,0,paid,0.66,no
720412817356,Ishaan Chatterjee,ishaan.chatterjee315@djscoe.edu,SVKM'S Dwarkadas J. Sanghvi College of Engineering,Mechanical Engineering,3,5,82,69,6.78,1,paid,0.52,no
563805304048,Karthik Kulkarni,karthik.kulkarni5884@rvce.edu.in,RV College of Engineering,Information Technology,1,2,65,68,7.23,2,delayed,0.72,no
934740265782,Vivaan Deshmukh,vivaan.deshmukh2764@kiit.ac.in,KIIT University,Electrical and Electronics Engineering,4,7,99,96,8.76,0,paid,0.89,yes
938303770269,Pooja Deshmukh,pooja.deshmukh4476@bmsce.ac.in,BMS College of Engineering,Civil Engineering,3,5,48,57,5,1,delayed,0.35,no
